Time,Ask,Bid,AskVolume,BidVolume
05.11.2012 00:00:00.843,1.28232,1.28223,2.48,2.10
05.11.2012 00:00:01.438,1.28233,1.28225,1.73,1.50
05.11.2012 00:00:02.125,1.28234,1.28226,3.23,1.50
05.11.2012 00:00:02.183,1.28234,1.28226,3.23,1.50
05.11.2012 00:00:05.194,1.28233,1.28226,2.10,1.50
05.11.2012 00:00:06.044,1.28231,1.28225,2.10,1.50
05.11.2012 00:00:06.103,1.28231,1.28225,2.85,1.50
05.11.2012 00:00:07.414,1.28231,1.28225,2.85,1.50
05.11.2012 00:00:08.763,1.28231,1.28225,2.85,1.50
05.11.2012 00:00:08.943,1.28233,1.28225,1.35,1.50
05.11.2012 00:00:09.664,1.28233,1.28226,1.35,1.50
05.11.2012 00:00:10.166,1.28233,1.28225,1.35,1.50
05.11.2012 00:00:14.023,1.28233,1.28227,1.73,1.50
05.11.2012 00:00:14.083,1.28234,1.28227,1.88,2.48
05.11.2012 00:00:14.382,1.28237,1.28231,1.88,1.73
05.11.2012 00:00:14.565,1.28236,1.28229,1.35,1.50
05.11.2012 00:00:14.744,1.28235,1.28227,3.23,2.25
05.11.2012 00:00:15.283,1.28234,1.28227,1.35,1.50
05.11.2012 00:00:15.923,1.28234,1.28226,2.10,1.50
05.11.2012 00:00:22.313,1.28233,1.28226,2.10,1.50
05.11.2012 00:00:23.554,1.28233,1.28226,2.10,1.50
05.11.2012 00:00:25.774,1.28232,1.28220,1.73,1.13
05.11.2012 00:00:26.883,1.28233,1.28224,1.73,1.88
05.11.2012 00:00:27.823,1.28233,1.28224,1.73,2.63
05.11.2012 00:00:28.552,1.28232,1.28224,1.73,1.88
05.11.2012 00:00:31.563,1.28233,1.28224,1.73,2.63
05.11.2012 00:00:32.103,1.28234,1.28224,2.48,3.38
05.11.2012 00:00:36.084,1.28234,1.28224,1.73,2.25
05.11.2012 00:00:38.624,1.28233,1.28224,2.10,2.25
05.11.2012 00:00:38.934,1.28232,1.28224,2.48,1.50
05.11.2012 00:00:39.295,1.28234,1.28226,1.50,1.73
05.11.2012 00:00:39.654,1.28236,1.28231,1.50,1.73
05.11.2012 00:00:40.014,1.28239,1.28231,4.35,1.50
05.11.2012 00:00:40.074,1.28237,1.28228,1.73,2.75
05.11.2012 00:00:40.624,1.28238,1.28228,1.73,2.00
